id,genus
0119_X2EFkFvU5Kw,boletus
011_-u2Z2AkKBSs,cortinarius
011_CMqb7aNmsrU,hygrocybe
011_DoZoYI2vj20,amanita
011_I_SwyEGm5xA,suillus
011_LoMY4qu_wxo,lactarius
011_O7SacLpppI0,entoloma
011_xuMXnK-G--k,russula
0120_zZg14KWl8EI,boletus
0121_0ghQ-M2SrEM,lactarius
0121_c9HLMovkOg4,boletus
0122_7fSYQvikj6E,boletus
0122_AqeS1c7wuJk,lactarius
0123_TVTDzyTyp3k,boletus
0123_YgLaaYRVkWs,lactarius
0124_VX2iosIF2sY,boletus
0124_yGnRoyr5kDA,lactarius
0125_WOyBnDf1Lbs,lactarius
0125_YI8kqRyzqos,boletus
0126_WQnnrTznXdA,boletus
0127_QHKOMqX9AIM,boletus
0128_etlu0OHC-2A,lactarius
0128_yb8nhb_xP2s,boletus
0129_inYDb-Uh30c,boletus
0129_oXXyqHV1F4Q,lactarius
012_gia87L7na6w,lactarius
012_LoI9mTyYf7I,suillus
012_qn2uKxpKshw,amanita
0130_d_hm9Z21U04,boletus
0131_dHnYwdU72jo,lactarius
0131_F4u26xQUsGY,boletus
0132_phTDi_QE6ew,lactarius
0133_ROTGPafTjiw,boletus
0134_d3QK_tShE9Y,boletus
0134_kdPPLVtq4mk,lactarius
0135_6DElJIZy7rE,lactarius
0135_8E14p4irE5o,boletus
0136_lJoDvLOcfjE,boletus
0137_jv0-vXCZ9E8,boletus
0138_dduTJonEEc4,boletus
0138_jDedOeNqIOs,lactarius
0139_4Slu9ELtokU,boletus
0139_JLfQmvNNJIs,lactarius
013_IqkNMyxGrr8,russula
013_J10V0mBJglk,cortinarius
0140_l02XUqkuX24,boletus
0141_-OtccsRRvd0,boletus
0141_HKyggUBItrQ,lactarius
0142_osp5FSuBFx4,boletus
0142_v3QdMSCiGsw,lactarius
0143_3O4znXMS7zk,lactarius
0144_VYJVJBrmXiU,lactarius
0145_3Tkma0hPy4w,boletus
0145_XygcAtDe-Io,lactarius
0146_DyT-4vG7fGY,lactarius
0146_uAjxRmF7Rlk,boletus
0147_lGoqmCwvxCc,boletus
0147_ZAySZ3Wkn8k,lactarius
0149_QDY0ybU8WhQ,lactarius
0149_sxoA5Z7iX10,boletus
014_1uydPw0Q5Nw,amanita
014_7MsqwutgW-o,cortinarius
014_a6ZorjAMstY,russula
014_G5k4V29ZOzY,entoloma
014_HBZMDQmMf_s,russula
014_Y2u7hAjX6fI,hygrocybe
0150_8yB5RnDz6jo,boletus
0150_rvcxmA_JX-I,lactarius
0151_8qA6XqDaO10,boletus
0151_yFlepS63w_M,lactarius
0152_BAwZ_PnBHxg,lactarius
0152_eOvq1pMGWcs,boletus
0153_uBZYXogzfXg,boletus
0153_ZWCdR9ivqj8,lactarius
0154_6gYf5N7sqIg,boletus
0154_WPNA9i3tmiY,lactarius
0155_cfBPq0uvW7U,boletus
0156_0ARfu3wPTgw,boletus
0157_rbQdcnBYFeY,boletus
0157_SshRkOV_0Rs,lactarius
0159_ize-V3rccXo,boletus
0159_ZPwoOl1uqIk,lactarius
015_76AaCMQF9EQ,cortinarius
015_c7r3GF0qf8o,russula
015_hf8hjFzz9yk,russula
015_kiug4wB91So,amanita
015_KmsSkCXfCek,suillus
015_q4quODbKFTc,lactarius
0160_reXOXBxYNR4,boletus
0160_TU7m66ya7yE,lactarius
0161_9MpcLMhTHlc,boletus
0161_nvDSWAovBsw,lactarius
0162_9DaM2SIT_8c,boletus
0162_DiWMr6h-ujY,lactarius
0163_w13Kd-S4EmY,lactarius
0164_7Zma_RtDx-k,lactarius
0164_Su-T0kKYeVE,boletus
0165_k6Pq8BOh95Q,lactarius
0166_j7MueZCGo8c,lactarius
0166_JjEOuNKkeSM,boletus
0167_6WTDrDjtlKM,lactarius
0168_RxwEmrVE988,lactarius
016_EAQ4jafUVbc,lactarius
016_hD1qfjx4iYg,russula
016_iWduf8GqrsE,cortinarius
016_S-Z6ZIo2G3k,amanita
016_xFGA2Vyy4Zw,russula
0170_U_vd1pcXCJU,boletus
0171_C-Bbtx1gNbg,boletus
0171_YjPamqUNzvk,lactarius
0172_cjXSZlKPGQ8,boletus
0173_LaU6FGhy4Xk,boletus
0173_MD8uBXqdN_g,lactarius
0174_P54p6gXurSo,boletus
0174_S-0siMhJtoc,lactarius
0175_2D2JP8O_v3Y,lactarius
0175_CuEO8-ifYF8,boletus
0176_J7Pq7LRCag0,boletus
0177_nqVhor-oZxM,lactarius
0178_O1WffQqjBRQ,lactarius
0178_x3a9zoo45g8,boletus
0179_3nRrmxqtZVY,boletus
0179_Hyd8sFzGQLE,lactarius
017_4Sx9GdEZ4BE,hygrocybe
017_6gYQhTl8hx8,lactarius
017_a9kwv9BpXWw,cortinarius
017_IZw82PCpqPA,russula
017_NOBUxtHiHRg,amanita
017_PCypwlSirE4,russula
017_roIonLfN5Zk,entoloma
0181_gQu_ll_-SEY,lactarius
0181_WPxAHfkr5nY,boletus
0182_g__ZReqasgI,boletus
0182_scq9RFPRDFY,lactarius
0183_bPr8OpQxM0k,boletus
0184_wNzoTeCzC5o,lactarius
0185_fa6ehqOAxvU,boletus
0186_8hd4Jt8Z_XU,boletus
0186_F1BINnkGWL4,lactarius
0187__pRX2ASfyHE,boletus
0188_Pr029n-3-Kc,boletus
0188_QDGj1_inixA,lactarius
0189_u2k3sXqag1M,lactarius
0189_ZaXnvNjLhfs,boletus
018_fu20lV1Ks10,amanita
018_mCR7ztzhcXo,lactarius
018_N1grNRX8F-0,cortinarius
018_R0WTdfHCv9A,hygrocybe
0190_llQnxqeljFY,lactarius
0190_lX15y40DKqQ,boletus
0192_st28pxbylcw,lactarius
0192_Y3sa4axnAjU,boletus
0194_GD0nHdO4ZVc,boletus
0195_GtzWxeDspjc,lactarius
0195_NJGqkrg6iHk,boletus
0196_P9OcvXYvZKk,lactarius
0196_uqGMdVItBRg,boletus
0197_egkKmufMaDk,boletus
0197_RMb2WPZjeo4,lactarius
0198_IpCTnubvzAc,lactarius
0198_WNXLtkA7ydA,boletus
0199_eOfAr3CgVhw,boletus
019_dC7dMPodoSA,amanita
019_E-cQgCbPCXQ,lactarius
019_EKkNgTevh1g,russula
019_Gpvyn7LwD_w,russula
019_mx0sVc9Up4Q,hygrocybe
019_suT0wddCSGg,cortinarius
019_ZGpH0s9gKqY,entoloma
0200_SAHOnyhlMvQ,lactarius
0201_PO7WEgJYKQE,boletus
0202_gGw05EbUi_w,lactarius
0202_xCe_J8F1ilI,boletus
0203_9fok2txolHA,boletus
0203_wD_qWma5uJY,lactarius
0204_0Jv0vWUKE58,boletus
0204_PNAIMfY3CWk,lactarius
0205_TasOn6XYRJA,lactarius
0206_Bx_2ZtnNtPw,lactarius
0206_TyUG66hONcc,boletus
0207_oXbD8i2vkVg,boletus
0208_8n-8CAaKZWk,lactarius
0209_c92n1EavPfs,lactarius
0209_Mfdw16qMBFM,boletus
020_7jFXbEM9c1g,hygrocybe
020_bUHodwLC_Q4,russula
020_LofnY6-BwSI,cortinarius
020_qW3wRprNQuU,suillus
020_SYsAZ-J5m-w,russula
020_xmeDaX5osJA,amanita
020_yk9oCxLPbLQ,entoloma
0210_2RlaMf9lOQI,boletus
0210_55rHxzPrVRc,lactarius
0211_7zX2_Va9l44,boletus
0211_a-wtZr6fOMw,lactarius
0212_6r0AFhCvTk4,lactarius
0213_hdAY3qt0n-w,boletus
0213_WsyQmS_IpDg,lactarius
0214_5gMLkZmNon8,boletus
0214_8bdDWGLCtCk,lactarius
0215_TzIJyAW9ru8,boletus
0216_5IatVedema8,boletus
0217_Skg7N5ksYNQ,lactarius
0218_5uD_mDte5kA,lactarius
0218_WBWcZ-GPU00,boletus
0219_nYbVsP_0-S8,lactarius
021_2-PKYWYCnqU,amanita
021_DENt7NvIK0Q,cortinarius
021_F_ZKFbL3-GY,russula
021_KvvvTIttgGw,entoloma
021_L5l_KuergPQ,russula
021_rlaESRMVYPo,hygrocybe
021_rsa3qBpSVKI,suillus
0221_088msANMuII,boletus
0221_y3wsFtPH29c,lactarius
0222_JO5jLmkfAw0,lactarius
0222_ZTx5VwAJUf0,boletus
0223_u6T2ekER0lU,lactarius
0223_xEs51cqiwlU,boletus
0224_3oTQ8gWKhbA,boletus
0224_XrApvIigcOQ,lactarius
0225_PpZ-THaL8ds,boletus
0226_5X5CI3Es8Bs,lactarius
0226_wcNLBe-imXM,boletus
0227_N_afSYDm7mQ,lactarius
0228_-q9b341UAuE,boletus
0228_HknGOROG6Cs,lactarius
0229_g2q2RSWLJt8,lactarius
0229_m5Q6WSafTps,boletus
022_5j64wqGuxt4,amanita
022_j8kTFy9im24,entoloma
022_tNaDxq5khkg,cortinarius
022_USsHR3Cz1P0,suillus
022_YHDVG7j0wi8,russula
022_YlKW0mEnypU,lactarius
022__ETdFtnS4Ac,russula
0230_BeTixT0nqBg,lactarius
0230_w1JYAIwfkcc,boletus
0231_-uSZuLBWmwY,lactarius
0232_aE01_oGSAzU,boletus
0232_XpJ2cj09zCo,lactarius
0233_kXmXYdJaxFE,boletus
0233_YNlSVzp0Kjo,lactarius
0234_4tRmz00-xrs,boletus
0234_c1ENnFDG4kI,lactarius
0235_1a-Rzvjmhqg,lactarius
0235_VHyxMf-Qqog,boletus
0236_ISjl18svrE0,boletus
0236_m1RKmU8KJbQ,lactarius
0238_qz-FM7SB6M0,boletus
0238_WiG8EcgwNA0,lactarius
0239_gJd-gjFZuFg,lactarius
0239_ZkFOk_gouBo,boletus
023_B1KItZaXcHw,lactarius
023_ftyDEODp5Mw,russula
023_KGTy1SEs49k,amanita
023_lUiH3m-M8M0,suillus
023_oNrVmr09BC0,cortinarius
023_yeojYCPv-uc,russula
0240_VJBB4bFGy00,boletus
0241_LRHakvrVtEo,lactarius
0241_u6NQ7ngIREI,boletus
0242_a5rsnudKT5Y,boletus
0242_zOYn0DVnISo,lactarius
0243_1uZsTH5Klbg,boletus
0243_gYkkxa4sN-M,lactarius
0244_pXKeS52-aw0,boletus
0244_s3BI-ssD1W8,lactarius
0245_M167aLbLgs8,boletus
0246_9zSa1dppX5U,boletus
0246_jpF6b1O5fmc,lactarius
0247_8nlwkZRvw6U,boletus
0248_U4oX_iBYxDc,lactarius
0249_ZTBVVncCag4,lactarius
024_-qROHMKC0u4,cortinarius
024_4dzID00K0bw,lactarius
024_6ZiLaxdJnHs,russula
024_b9YCAgUxfLc,suillus
024_rhgAyyNHSJo,russula
024_xREsGBiGo4E,amanita
024_YThZh8Mwcp4,hygrocybe
0250_3-WLnD_dtU8,boletus
0250_WqScI51egU0,lactarius
0251_5vb8OVr-Ftw,boletus
0252_mXTAMTkfuSo,boletus
0252_qNeeSZj9WdM,lactarius
0253_eurjML6EPoY,lactarius
0254_n0nbhzcqkbk,lactarius
0254_nKaP5kABZoA,boletus
0255_gqqIPN_k5Ns,lactarius
0256_AfKj-CzsmLI,lactarius
0256_im_kfMUwuX8,boletus
0257_HOuyMmdxRHE,lactarius
0257_RMHmS13Xqx8,boletus
0258_6yS2OEz_0Ek,lactarius
0259_RjpNYKf3Zag,boletus
025_8bHMwyrm1xE,lactarius
025_hmAbB49JM2Q,amanita
025_k35cqXEzH7Y,russula
025_kYZnUnLatqg,russula
025_oL7xvfluYr4,entoloma
025_tm1FzBUuDNw,cortinarius
025_uRz3TTEwU1E,hygrocybe
0260_w-5dZ5ZCMsg,lactarius
0261_Dag-SrdgNL4,boletus
0261_pUdRYRMfy7c,lactarius
0262_bE-cUUNaFnw,boletus
0262__BijC4djNOc,lactarius
0263_nUgkvTMYYa4,boletus
0264_47xi69ImS58,boletus
0264_9xkZs2wAZRQ,lactarius
0265_iKppET0u-38,lactarius
0265_roqgqDagD10,boletus
0266_hm7ahGt7-JY,boletus
0266_QJShKYY-reI,lactarius
0267_1O-up74jwWA,boletus
0267_C1Uoq2ej_yE,lactarius
0268_TThXc1d5rPg,lactarius
0268_UgQloOVgaMM,boletus
0269_MNg41kUpbo4,lactarius
0269_VgthgXZd1x4,boletus
026_-YqZ87jNOfs,entoloma
026_8kxG9731_4w,amanita
026_B-JruZ9eQ2c,russula
026_fL5uEz0WSf4,lactarius
026_vrQU7DU4VCY,hygrocybe
026_XAUHKpKmzII,russula
0270_1nWaT7nSeDE,lactarius
0270_c-LXUi6SjQQ,boletus
0271_r-8HHW5OeSQ,boletus
0272_siU7BBeYOsI,lactarius
0273_PxndxedeoOw,boletus
0274_iVpSJF-ZTBM,lactarius
0276_AmbFr-tUSQs,lactarius
0276_eulHrmGFYAQ,boletus
0277_TdjfP-b7kgI,lactarius
0278_xasbi9piTJU,lactarius
0279_DuszEPO13KU,lactarius
0279_lxzVbghZvlw,boletus
027_4fYiFOSxurU,cortinarius
027_58yTWJ00RKo,hygrocybe
027_Haz__T9-uoE,russula
027_KBzc0ewR7Z8,russula
027_vrHqUjFtCFU,suillus
027_W7MuyOEty14,entoloma
0280_ZkN4d2S7irU,lactarius
0281_AFNpZQ3eN6A,boletus
0281_gJt1qzpDP44,lactarius
0282_Da2fCqEK5E4,lactarius
0282_tbMp1_jqo7c,boletus
0283_LLxULD7bykw,boletus
0283_Z0hZLhjoTJg,lactarius
0284_-yCLP4s6xro,lactarius
0284_MFQcklvcFkc,boletus
0285_5r1D03ayo_A,boletus
0285_zeQYp9nb6qU,lactarius
0286_4xzv2MxyZ6k,boletus
0286_FKPyv-d8M7w,lactarius
0287_68IjTaiTesU,lactarius
0287_TuL-YR44HKQ,boletus
0288_ISt0w9iBzqU,lactarius
0289_z2KeV3rr6kI,lactarius
028_3V6zagDASrI,suillus
028_ep6xNTtGRbM,entoloma
028_rZc7QKvwhIM,amanita
028_syfY7OB7P7U,russula
028_UZyd-H5cxxE,lactarius
028_yt4OPMq9n-M,hygrocybe
0290_KNGFGvBuZbU,lactarius
0290_mQak1uHV608,boletus
0291_u1v7172mPog,lactarius
0291_YtAJOvd2tcQ,boletus
0292_5tOduEUrxJI,boletus
0292_rBR3bKGAiUk,lactarius
0293_1ZRt4FTr47g,boletus
0293_lWMOHArDMK8,lactarius
0294_gVvPHfK-AXY,boletus
0294_JZldDjGPKSc,lactarius
0295_AoB1oaBwfP8,lactarius
0295_NEMzMIhVCFU,boletus
0296_m6XKAL4eGck,boletus
0296_rbFvOx3f7z8,lactarius
0297_bp8dYHaAcSE,lactarius
0297_Q4fwdJ_9PxA,boletus
0298_01Q7PUhybdQ,boletus
0298_ixgxf5yjKJg,lactarius
0299_Ue9AxhqQqyc,boletus
029_6_sz5LSbyBQ,suillus
029_9n7uW4uW_Yg,russula
029_Qx9sNkJyN9Q,lactarius
029_SZIbojUxXyM,hygrocybe
0300_TCB0fdJWXzE,boletus
0301_bColRM-i97M,boletus
0301_egpSMo3VaDg,lactarius
0302_8PMBXPMeaIE,lactarius
0302_rhgH6TD1l1s,boletus
0303_IaUO9etBBd4,boletus
0305_nGFiccK1Si0,boletus
0305_Ub77B_k5F5c,lactarius
0306_64D0ZnNktPM,boletus
0306_nsxblIV1KVk,lactarius
0307_dyfTMW_pghY,boletus
0307_MA7GubKH4ZM,lactarius
0308_iJG98shThT0,boletus
0308_YqR8iUnnIVk,lactarius
030_AQ4o1Xm4AL0,hygrocybe
030_PsTrpK5ALkA,suillus
030_REUFWZ6N6Ds,amanita
030_sCKfBfNbOl4,russula
030_uZL79CoO9A0,cortinarius
030_VXUnMqAEMHo,russula
030_yMtAq1C2U4Q,entoloma
0310_Y7faW_iy5OA,lactarius
0310__tra6Lo5W9Q,boletus
0311_sScXR9uxlz0,boletus
0312_MAxCJJyok74,boletus
0312_W0c_b43723M,lactarius
0313_UMgAL-_294g,boletus
0314_gbuzJme6XVE,boletus
0315_eE971iGCJRI,lactarius
0315_TZK9JOYNO7Q,boletus
0316_iVVjsprEBws,lactarius
0316_vFD9ercaQk4,boletus
0317_VXmxNK-Uks8,boletus
0318_NCLBl4xlIgM,lactarius
0319_h3Zl6wKFTk8,boletus
0319_PQ7CYFw-qTk,lactarius
031_d-IJ5REVX90,amanita
031_GGIiX9fxGG4,russula
031_J6PHOMh1yQ4,russula
031_KuhLc-HePnA,suillus
031_Qbi5g2e-xxc,entoloma
0320_Fj4PirBfkK0,boletus
0321_-8XLx819HxQ,boletus
0321_yocy6nZbpNM,lactarius
0322_2UpHsEF5Mzs,lactarius
0323_WBZiJM2oR3E,boletus
0324_iY533QaNkTM,boletus
0325_CS-AhGVBtMU,boletus
0326_0by1gTTscOU,lactarius
0328_8IPggG6t9VY,lactarius
0328_WCiWNW_CoOU,boletus
0329_aeojzXhOnp4,boletus
0329_Mzk37QBgGIA,lactarius
032_B76VzxPDxB8,lactarius
032_DZ1xy6htm0M,hygrocybe
032_lPevIofLngY,entoloma
032_RaRNWCMOeJY,cortinarius
0330_meXKZlQKAlM,lactarius
0331_KXMvaY5LmQo,lactarius
0331_Qkwzw67cUVQ,boletus
0332_tH1FkDxMG10,boletus
0332__JHHVS2DgXY,lactarius
0333_aDi20Zpikfw,boletus
0333_e1MkmPUrwBo,lactarius
0334_22pw0oJv21I,boletus
0334_Y9adU_u7yV0,lactarius
0335_dVTfQmjMltw,lactarius
0337_LzJJGUGOPoc,boletus
0337_z0ZM1D254cw,lactarius
0338_kg4rc5H_bqY,lactarius
0338_nQ3p9UmU-zo,boletus
0339_ksOQbAtfIRs,lactarius
0339_oELtr8piAEc,boletus
033_likSB-6FvH4,lactarius
033_mUUApvra5l8,russula
033_of6foOnapIg,hygrocybe
033_p_kC9KT-lGU,amanita
033_yJBfhGv9URU,entoloma
0340_0gzvFhGVf5M,lactarius
0340_6OUaPwOu0Us,boletus
0341_a5iJJ-1JiX4,lactarius
0341_qbTODK12c2Q,boletus
0342_ClYhyGuNiik,boletus
0342_mx9Wwnr2TDY,lactarius
0343_bk4U5tF-Po4,boletus
0343_LAbSsMrnLBA,lactarius
0344_3nzDfs3jlQQ,boletus
0344_eZgs9xVJK7c,lactarius
0345_CtiMi7Ow-y0,boletus
0345_VbMWQxPFR_8,lactarius
0346_uMtSar_Hi1U,boletus
0347_j7cz7THh2xE,boletus
0347_M2HiuI9GaFc,lactarius
0348_k-Aq_Awky3c,boletus
0348_OWdZuiQh9xc,lactarius
0349_qp619pHCEig,lactarius
034_bHogU2wcaSk,russula
034_uFEs0KR55hA,cortinarius
034_VOZuBo7VuLU,lactarius
